0: 53,61,158,156,286
191: 112,67,217,130,75,177
192: 111,138,155,46
193: 180,143,297,15,72
194: 196,116
195: 65
196: 29,194,37,116,119
197: 71,113,152,210,265
198: 9,300,181,203,159
199: 129,119,64,29,244,136
200: 213,122,111,59,292,46,230
201: 223,1
202: 221,102,190,41,238,132
203: 30,236,181,198,78,159
204: 253,232,125,211,76,123,231
205: 84,218,60,279,93,106
206: 229,106,246,91,134,225
207: 56,145,264,261,249,114
208: 67,85,258,144,45,117,214
209: 121,215,131,254
210: 265,71,197
211: 163,274,204,125,142,231
212: 74,276,240,138
213: 200,122,230,165,110
214: 43,130,144,208,67
215: 209,131,3
216: 76,123,284,217,112,4
217: 284,117,67,216,112,191
218: 84,205,64,136,242,60
219: 131,254,44,275,152
220: 115
221: 102,202,44,275,234,132
222: 225,126,11
223: 201,1,276,111,292
224: 62,186,121,104,254
225: 70,222,206,134,69
226: 148,173,105,39,107,109
227: 178,108,298,118,185
228: 6,189,65,129,100
229: 106,206,146,269,134,81
230: 141,59,302,200,213
231: 233,142,237,204,211,76,18
232: 204,253,34,58,123
233: 231,237,18,154,88,288
235: 168,285,182,95,259,83
236: 30,203,148,78,107
237: 233,142,231,41,35,79,88
238: 127,132,202,86,41
239: 34,58,94,151,85
240: 124,155,212,140,138
241: 105,39,66,62,186
242: 140,136,124,84,218
244: 263,29,199,140,136
245: 151,258,248,82
246: 185,91,206,108,70
247: 295,271,257,98,40,262
248: 28,9,94,245,151
249: 146,20,283,261,207,114,269
250: 148,30
252: 87,169,134,81,51,69
253: 204,232,125,149,34
254: 219,131,224,209,104
255: 51,145,114
256: 2,90,160
257: 295,247,262,158,53
258: 245,151,82,45,208,85
259: 137,167,235,168,83,31
260: 68,288
261: 160,264,20,249,207
262: 277,40,61,158,97,247,257
263: 244,74,140
264: 160,261,157,56,207
265: 210,197,38
266: 153,86,150
267: 163,274,282,109,291,190
268: 165,26,110
269: 114,146,249,229,81
270: 96,164,175,57,273
271: 295,247,98,23,161,294
272: 49,93,118,185
275: 234,152,44,219,221
276: 212,223,138
277: 40,262,143,297,243,97
278: 87
279: 60,171,205,146,283,106
280: 135,6
281: 128,11
282: 48,107,109,163,267
283: 146,20,249,171,279
284: 117,217,58,216,123
286: 0,53,182
287: 4,22,154,68
288: 154,88,233,68,260
289: 175,103
290: 89,52,172
291: 109,174,267,190,102
292: 59,223,1,111,139,200
293: 52,172
294: 179,23,295,271,164
295: 271,247,257,294,179
297: 193,180,143,170,277,97
298: 118,122,178,227,165
299: 153,127
300: 9,198,94,159,34
302: 139,183,59,230
